"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 16 11:02:00 GMT 2024","Tue Jul 16 11:02:03 GMT 2024","3744","webkit","mainPage.spec.ts","Main page testing","","","Verify top-menu elements are visible",""
"passed","Tue Jul 16 11:00:47 GMT 2024","Tue Jul 16 11:00:51 GMT 2024","4285","chromium","mainPage.spec.ts","Main page testing","","","Verify header elements are visible",""
"passed","Tue Jul 16 11:00:53 GMT 2024","Tue Jul 16 11:00:56 GMT 2024","3209","firefox","login.spec.ts","Login page testing","","","Verify all needs elements are visible",""
"passed","Tue Jul 16 11:01:40 GMT 2024","Tue Jul 16 11:02:00 GMT 2024","19181","webkit","login.spec.ts","Login page testing","","","Verify errors when logging in with invalid credentials",""
"passed","Tue Jul 16 11:02:03 GMT 2024","Tue Jul 16 11:02:07 GMT 2024","3717","webkit","mainPage.spec.ts","Main page testing","","","Verify header elements are visible",""
"passed","Tue Jul 16 11:00:43 GMT 2024","Tue Jul 16 11:00:47 GMT 2024","3319","chromium","mainPage.spec.ts","Main page testing","","","Verify top-menu elements are visible",""
"passed","Tue Jul 16 11:00:22 GMT 2024","Tue Jul 16 11:00:24 GMT 2024","2573","chromium","login.spec.ts","Login page testing","","","Verify all needs elements are visible",""
"passed","Tue Jul 16 11:01:17 GMT 2024","Tue Jul 16 11:01:22 GMT 2024","4961","firefox","mainPage.spec.ts","Main page testing","","","Verify top-menu elements are visible",""
"passed","Tue Jul 16 11:00:56 GMT 2024","Tue Jul 16 11:01:01 GMT 2024","4323","firefox","login.spec.ts","Login page testing","","","User can log in with valid credentials",""
"passed","Tue Jul 16 11:01:28 GMT 2024","Tue Jul 16 11:01:34 GMT 2024","5798","webkit","login.spec.ts","Login page testing","","","Verify all needs elements are visible",""
"passed","Tue Jul 16 11:01:35 GMT 2024","Tue Jul 16 11:01:40 GMT 2024","5633","webkit","login.spec.ts","Login page testing","","","User can log in with valid credentials",""
"passed","Tue Jul 16 11:01:01 GMT 2024","Tue Jul 16 11:01:17 GMT 2024","16043","firefox","login.spec.ts","Login page testing","","","Verify errors when logging in with invalid credentials",""
"passed","Tue Jul 16 11:00:24 GMT 2024","Tue Jul 16 11:00:27 GMT 2024","2611","chromium","login.spec.ts","Login page testing","","","User can log in with valid credentials",""
"passed","Tue Jul 16 11:00:27 GMT 2024","Tue Jul 16 11:00:43 GMT 2024","16375","chromium","login.spec.ts","Login page testing","","","Verify errors when logging in with invalid credentials",""
"passed","Tue Jul 16 11:01:22 GMT 2024","Tue Jul 16 11:01:26 GMT 2024","4272","firefox","mainPage.spec.ts","Main page testing","","","Verify header elements are visible",""
