"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 16 10:34:04 WEST 2024","Tue Jul 16 10:34:12 WEST 2024","7399","webkit","mainPage.spec.ts","Main page testing","","","Verify header elements are visible",""
"passed","Tue Jul 16 10:33:33 WEST 2024","Tue Jul 16 10:33:53 WEST 2024","19221","chromium","login.spec.ts","Login page testing","","","Verify errors when logging in with invalid credentials",""
"passed","Tue Jul 16 10:33:38 WEST 2024","Tue Jul 16 10:33:43 WEST 2024","4652","chromium","mainPage.spec.ts","Main page testing","","","Verify header elements are visible",""
"passed","Tue Jul 16 10:33:50 WEST 2024","Tue Jul 16 10:34:12 WEST 2024","21959","firefox","login.spec.ts","Login page testing","","","Verify errors when logging in with invalid credentials",""
"passed","Tue Jul 16 10:33:45 WEST 2024","Tue Jul 16 10:33:51 WEST 2024","6387","firefox","login.spec.ts","Login page testing","","","User can log in with valid credentials",""
"passed","Tue Jul 16 10:33:52 WEST 2024","Tue Jul 16 10:33:55 WEST 2024","3289","firefox","mainPage.spec.ts","Main page testing","","","Verify header elements are visible",""
"passed","Tue Jul 16 10:33:43 WEST 2024","Tue Jul 16 10:33:47 WEST 2024","4155","firefox","login.spec.ts","Login page testing","","","Verify all needs elements are visible",""
"passed","Tue Jul 16 10:33:30 WEST 2024","Tue Jul 16 10:33:38 WEST 2024","8069","chromium","mainPage.spec.ts","Main page testing","","","Verify top-menu elements are visible",""
"passed","Tue Jul 16 10:34:00 WEST 2024","Tue Jul 16 10:34:22 WEST 2024","21343","webkit","login.spec.ts","Login page testing","","","Verify errors when logging in with invalid credentials",""
"passed","Tue Jul 16 10:33:48 WEST 2024","Tue Jul 16 10:33:52 WEST 2024","3611","firefox","mainPage.spec.ts","Main page testing","","","Verify top-menu elements are visible",""
"passed","Tue Jul 16 10:33:33 WEST 2024","Tue Jul 16 10:33:39 WEST 2024","5979","chromium","login.spec.ts","Login page testing","","","User can log in with valid credentials",""
"passed","Tue Jul 16 10:34:02 WEST 2024","Tue Jul 16 10:34:06 WEST 2024","3907","webkit","mainPage.spec.ts","Main page testing","","","Verify top-menu elements are visible",""
"passed","Tue Jul 16 10:33:33 WEST 2024","Tue Jul 16 10:33:38 WEST 2024","4621","chromium","login.spec.ts","Login page testing","","","Verify all needs elements are visible",""
"passed","Tue Jul 16 10:33:59 WEST 2024","Tue Jul 16 10:34:04 WEST 2024","5019","webkit","login.spec.ts","Login page testing","","","User can log in with valid credentials",""
"passed","Tue Jul 16 10:33:59 WEST 2024","Tue Jul 16 10:34:02 WEST 2024","3302","webkit","login.spec.ts","Login page testing","","","Verify all needs elements are visible",""
